,,,上客,,,,,下客
568,经度,维度,1906.526316,,568,经度,维度,1906.526316
81,106409683,29639768,745.36607,,55785,106548458,29774311,2.263158
82,106411070,29591631,750.924586,,55786,106556534,29803609,82.526316
83,106410953,29591679,739.512278,,55787,106556610,29817097,81.368421
580,经度,维度,6782.789314,,55788,106548621,29809240,218.578947
584,经度,维度,8195.89474,,55789,106555299,29813289,160
595,经度,维度,1063.315789,,55790,106529837,29807676,206.631579
671,106459216,29557396,1218.717514,,55791,106519302,29811599,177.421053
672,106462515,29560938,1626.363549,,55793,106498176,29780510,168.315789
673,106468018,29562795,1710.358357,,55794,106540301,29773244,66.736842
674,106480106,29568231,1484.527983,,55796,106544927,29774368,0.263158
675,106487963,29572157,1348.763549,,55797,106510863,29814836,183.157895
676,106497152,29577687,1635.343619,,55798,106503590,29799042,195.684211
677,106503607,29581640,1768.956488,,55799,106502481,29796863,180.105263
678,106508498,29585944,1765.305248,,55800,106501277,29793718,183.473684
679,106521620,29585980,1829.475732,,580,经度,维度,6782.789314
680,106525434,29582644,1721.242657,,55449,106386304,29809357,211.157895
681,106526156,29574177,1726.520492,,55450,106388874,29812930,233.631579
683,106540853,29575756,1357.351044,,55451,106394314,29815746,249.526316
684,106549217,29578520,1079.719951,,55452,106399683,29818190,365.315789
859,106411070,29591631,409.49993,,55453,106405836,29821848,359.315789
860,106379673,29598825,196.189716,,55454,106409798,29825392,352.736842
861,106372509,29602253,195.364032,,55455,106413108,29828220,335.105263
862,106371984,29606673,280.769159,,55456,106417383,29831478,306.157895
863,106364750,29606072,265.513614,,55457,106421253,29832672,247.368421
864,106343195,29606683,235.882035,,55458,106422687,29833633,244
865,106333730,29622207,98.234274,,55459,106424861,29835147,202.368421
874,106341379,29608243,277.105263,,55460,106430133,29833068,199
877,106364750,29606072,297.473684,,55461,106430180,29828069,184.947368
878,106371992,29606674,285.736842,,55462,106429187,29826514,233.263158
880,106411070,29591631,356.646504,,55463,106424741,29823821,233.894737
1112,106434964,29822411,1156.083159,,55464,106422662,29821853,233.684211
1113,106443944,29818112,1270.631579,,55465,106419756,29818760,236.736842
1114,106447055,29818103,1287.894737,,55466,106417995,29816380,237.789474
1115,106457780,29815014,1246.368421,,55467,106412981,29813366,250.105263
1116,106467539,29805258,1220.631579,,55468,106406516,29812286,425.10521
1117,106479877,29796288,1200.210526,,55469,106398965,29810488,428.947315
1119,106498672,29780420,1301.947368,,55470,106395348,29808054,386.473631
1120,106476897,29797529,1375.315789,,55472,106393484,29804757,322.631579
1121,106467539,29805258,1408.105263,,55473,106415892,29830670,111.789474
1122,106457443,29815359,1471.894737,,56478,106388784,29807716,191.736842
1123,106447055,29818103,1250.736842,,584,经度,维度,8195.89474
1124,106443944,29818112,1182.061395,,55970,106414544,29836255,406.842105
1249,106406480,29598708,768.035356,,55971,106381202,29803900,202.631579
1250,106409366,29605964,764.82483,,55972,106384372,29807549,234.842105
1251,106414209,29569977,786.402558,,55973,106385856,29809665,318.473684
1252,106406480,29598708,711.523889,,55974,106391032,29814532,336.105263
1253,106409452,29606031,644.471257,,55975,106395363,29818882,375.263158
2019,106625992,29559692,478.473762,,55976,106397820,29820930,488.526316
2020,106637468,29563779,409.708967,,55977,106402178,29825413,489.684211
2021,106641369,29563571,360.489476,,55979,106406817,29830415,450.052632
2022,106644262,29562467,297.4902,,55980,106419348,29834837,399.473684
2023,106663202,29562904,112.684211,,55981,106421505,29834635,374.631579
2024,106667030,29563966,100.842105,,55982,106424763,29835131,364.052632
2027,106637468,29563779,272.368521,,55983,106430055,29833548,352.421053
2028,106641369,29563571,254.552173,,55984,106435383,29835351,305.157895
2029,106644262,29562467,277.327548,,55986,106396510,29797618,295
2030,106663202,29562904,265.61384,,55987,106445331,29825910,215.526316
2031,106667030,29563966,160,,55988,106440041,29821686,204.157895
2032,106670706,29561293,146.842105,,55989,106437926,29817904,245.736842
2134,106491122,29778174,208.947368,,55990,106436080,29818708,233.894737
2135,106486265,29781818,229.105263,,55991,106431640,29816784,259.578947
2136,106475709,29782644,195.596473,,55992,106431316,29815009,261.684211
2137,106472936,29789811,189.107837,,55993,106430585,29812634,300.157895
2138,106468317,29799612,192.274495,,55994,106428551,29810450,340.789474
2139,106447069,29818094,189.327127,,55995,106426991,29807751,449.263158
2140,106443927,29818108,176.958706,,55996,106422951,29800778,125.263158
2708,106477447,29360990,193.526316,,55998,106399037,29799441,166.684211
2711,106488430,29352935,223,,595,经度,维度,1063.315789
2712,106506083,29383732,88.368421,,57075,106419958,29771640,50.105263
2718,106492532,29384888,140.631579,,57077,106424841,29789439,105.210526
2719,106477447,29360958,74.105263,,57078,106423247,29800820,111.210526
2917,106504884,29560890,545.568101,,57079,106423228,29800835,38.947368
2918,106511837,29565516,659.00625,,57080,106431304,29815136,92.473684
2919,106518776,29569426,692.599471,,57082,106431302,29815161,78.631579
2920,106523222,29572304,657.979514,,57083,106425492,29778952,69.631579
2921,106527135,29572873,576.386275,,57084,106435591,29794641,65.157895
2922,106532698,29578392,718.867497,,57085,106445564,29806574,66.157895
2923,106524459,29584263,479.947376,,57086,106441936,29785675,59.157895
2925,106572699,29633294,1391.672206,,57087,106439186,29776475,30.789474
2926,106575695,29628421,1992.819329,,57088,106435951,29759999,45.473684
2927,106578738,29623003,2025.729402,,57089,106422446,29764467,85.473684
2928,106579475,29619691,2648.639334,,57090,106419894,29772391,79.157895
2929,106573450,29612901,2373.16222,,57091,106434077,29820987,85.736842
2930,106567864,29608070,2540.070721,,0800-1,经度,维度,16302.56753
2931,106565847,29602837,2638.313714,,40092,106553522,29605200,499.805514
2932,106558634,29591523,2347.821773,,40093,106555606,29597844,639.833867
2933,106556410,29584684,1877.083474,,40094,106556410,29584684,1004.635389
2934,106554147,29582396,1742.63719,,40095,106554147,29582396,684.719717
2935,106549214,29578517,2012.330274,,40096,106549135,29578449,618.161493
2936,106540613,29575627,2230.481058,,40097,106546713,29576467,702.593943
2937,106536901,29576377,2366.679961,,40098,106540613,29575627,985.639939
2938,106532436,29578842,2211.607893,,40099,106536728,29576454,1053.230989
2939,106524459,29584263,1124.965137,,40100,106532419,29578858,1152.321771
3200,106502395,29593153,571.585621,,40101,106497152,29577687,908.144444
3201,106500887,29591454,930.735934,,40102,106487703,29572115,853.439062
3202,106500915,29587826,1268.801612,,40103,106480106,29568231,1063.488688
3203,106502062,29585847,1849.774136,,40104,106468020,29562796,703.823782
3204,106508863,29585952,1860.284184,,40120,106503605,29581637,1021.94436
3205,106514101,29586029,1909.582875,,40121,106511366,29585991,1068.057955
3206,106521620,29585980,1796.625118,,40122,106520781,29586171,1065.529973
3207,106525449,29582619,1437.014815,,40123,106523915,29585422,1187.357144
3208,106563620,29552471,1609.094211,,40124,106545504,29608722,1089.839499
3209,106533604,29569094,2230.919893,,0800-2,经度,维度,18457.61516
3210,106540687,29559709,1949.291552,,39716,106551715,29604846,46.390901
3211,106545235,29553509,1133.019389,,39717,106555102,29601306,249.525194
3212,106550080,29554172,1387.511436,,39718,106468025,29562797,342.537198
3213,106526216,29574185,1830.580075,,39719,106480106,29568231,920.727138
3214,106570781,29551954,1335.487646,,39736,106487963,29572157,1241.661622
