站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,,,,,,,,,,,,,,
207,57,85,203,107,157,216,81,31,23,49,232,线路1,1413,105761265,105761265,双桥客运站,1236,105769659,105769659,茅店2队,1267,105743574,105743574,金竹桥,1407,105780035,105780035,横店村,1291,105752751,105752751,洛矶山,1356,105771118,105771118,龙水二小,1422,105767501,105767501,老菜市,1263,105767700,105767700,双桥公园,1203,105711128,105711128,大足中学,1192,105771195,105771195,龙水镇政府,1227,105772003,105772003,车城广场,1439,105780016,105780016,重庆工程学院,,,,,,,,,,,,,,
141,201,115,203,167,122,47,224,36,12,126,62,线路2,1329,105759128,105759128,五金博物馆,1405,105793550,105793550,宝顶山博物馆,1302,105774331,105774331,晓城春天,1407,105780035,105780035,横店村,1370,105786964,105786964,太平三队,1309,105727981,105727981,宏运商业城,1225,105748350,105748350,邮亭派出所,1430,105796527,105796527,沙桥二队,1209,105769723,105769723,双路中学,1181,105754573,105754573,花市街派出所,1313,105715211,105715211,东门派出所,1241,105740839,105740839,邮亭邮政所,,,,,,,,1,17,,17,105794631,29752346,宝顶
124,232,72,33,137,182,27,80,141,177,96,133,线路3,1311,105754567,105754567,慈航五队,1439,105780016,105780016,重庆工程学院,1251,105717779,105717779,大足印象,1205,105752095,105752095,五金市场,1324,105781089,105781089,复隆交界处,1385,105707900,105707900,北禅小区,1196,105727033,105727033,区行政服务中心,1262,105748225,105748225,艾诺斯,1329,105759128,105759128,五金博物馆,1380,105722908,105722908,青少年宫,1278,105793833,105793833,二片区,1320,105748344,105748344,倒庙三队,,,,,,,,2,264,,264,105781078,29489764,工农大桥东站
221,173,33,207,201,219,88,179,148,171,15,126,线路4,1427,105763573,105763573,德恒物业城东口,1376,105736551,105736551,清明桥,1205,105752095,105752095,五金市场,1413,105761265,105761265,双桥客运站,1405,105793550,105793550,宝顶山博物馆,1425,105807809,105807809,龙水温泉中心,1270,105746980,105746980,龙西中学,1382,105698914,105698914,西门桥食品公司,1338,105790376,105790376,双湖招抚站,1374,105709512,105709512,大足中学,1184,105749186,105749186,龙西岔路口,1313,105715211,105715211,东门派出所,,,,,,,,3,617,,617,105762022,29565435,老粮站
164,107,65,149,123,35,122,145,221,188,104,200,线路5,1366,105786861,105786861,长河五队,1291,105752751,105752751,洛矶山,1244,105765607,105765607,三角钢材市场,1339,105770825,105770825,黄家坝,1310,105753888,105753888,通远桥,1208,105764173,105764173,时代广场,1309,105727981,105727981,宏运商业城,1334,105797267,105797267,水塔,1427,105763573,105763573,德恒物业城东口,1392,105705473,105705473,区老人民医院,1287,105799732,105799732,白鹤村,1404,105735393,105735393,邮亭中学,,,,,,,,4,800,,800,105734608,29707688,区地税局
234,211,231,94,56,31,210,181,68,203,186,3,线路6,1441,105761139,105761139,龙水汽车站,1417,105764588,105764588,上官楼,1438,105771349,105771349,山水名都小区南,1276,105777781,105777781,双桥中学,1235,105768835,105768835,高坡1队,1203,105711128,105711128,大足中学,1416,105760761,105760761,双桥客运站,1384,105704898,105704898,书香世家,1247,105766139,105766139,高坡2队,1407,105780035,105780035,横店村,1390,105701412,105701412,区交巡警支队,617,105762022,105762022,老粮站,,,,,,,,5,806,,806,105729141,29698043,区广电大厦
37,56,147,132,143,223,226,197,36,72,20,17,线路7,1210,105784899,105784899,龙景理想城,1235,105768835,105768835,高坡1队,1337,105791804,105791804,白鹤家园,1319,105747733,105747733,倒庙一队,1332,105764963,105764963,上官楼,1429,105760093,105760093,德恒物业城,1432,105785189,105785189,沙桥一队,1401,105741699,105741699,转洞桥,1209,105769723,105769723,双路中学,1251,105717779,105717779,大足印象,1189,105728895,105728895,金星村,1186,105711054,105711054,大足汽车站,,,,,,,,6,913,,913,105788196,29521173,西湖变电站
194,233,153,165,4,207,227,116,3,184,58,203,线路8,1398,105733253,105733253,蓝湖星宇,1440,105762701,105762701,龙水汽车站,1347,105697855,105697855,西棠锦城,1368,105786490,105786490,长河煤矿,800,105734608,105734608,区地税局,1413,105761265,105761265,双桥客运站,1434,105793872,105793872,花样湖龙水景区,1303,105777052,105777052,双桥经开区管委会,617,105762022,105762022,老粮站,1387,105727866,105727866,城南加气站,1237,105763029,105763029,九节河,1407,105780035,105780035,横店村,,,,,,,,7,1176,,1176,105759435,29493329,双桥客运站
92,144,135,66,83,233,48,185,140,36,42,146,线路9,1274,105765469,105765469,铸造中心,1333,105797717,105797717,水塔,1322,105752509,105752509,倒庙六队,1245,105787908,105787908,重庆电信职业学院,1265,105775825,105775825,山水名都,1440,105762701,105762701,龙水汽车站,1226,105769968,105769968,黄桷花园,1388,105708911,105708911,大足汽车站,1328,105786809,105786809,重庆正大软件学院,1209,105769723,105769723,双路中学,1220,105762964,105762964,街心花园,1336,105741442,105741442,长龙农业,,,,,,,,8,1177,,1177,105763747,29489706,东升苑
107,202,155,123,142,198,160,190,67,8,19,103,线路10,1291,105752751,105752751,洛矶山,1406,105791561,105791561,宝顶景区停车场,1354,105736964,105736964,烈火四队,1310,105753888,105753888,通远桥,1331,105765575,105765575,电信大楼,1402,105760413,105760413,瑞鑫商城,1359,105762037,105762037,老粮站,1394,105720436,105720436,较场口,1246,105768508,105768508,通桥镇政府,1177,105763747,105763747,东升苑,1188,105727902,105727902,凤凰城,1285,105769873,105769873,新民村,,,,,,,,9,1178,,1178,105760043,29489727,新城港湾
